GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US45013,137396.0,2.0,4.5,21.9,20.6,8.9,24.5,158614,79205,71430.0,41070,4.5,37.2,20.6,22.6,9.9,9.7,79.2,13.0,7.6,0.2,9.3,15.6,309600.0,1690.0,1229.0,189732,73.7,17.2,0.3,1.2,0.1,11.1,Beaufort County,South Carolina
0500000US45015,148412.0,3.2,7.8,30.1,23.3,10.2,16.8,174652,103151,65443.0,30655,4.3,33.6,16.9,24.0,11.4,14.1,76.1,18.4,5.4,0.1,11.9,17.3,197300.0,1378.0,1164.0,222103,65.7,23.3,0.3,2.4,0.0,6.8,Berkeley County,South Carolina
0500000US45017,10770.0,4.7,8.9,36.8,20.2,10.5,13.6,12136,6584,49844.0,26492,6.5,33.6,14.3,22.8,9.4,19.8,75.3,20.9,3.4,0.4,19.0,28.7,104500.0,1206.0,666.0,14608,56.2,40.7,0.6,0.0,0.4,3.9,Calhoun County,South Carolina
0500000US45019,291568.0,2.2,5.4,21.7,16.9,8.6,28.6,335816,207897,67182.0,43141,3.7,45.3,17.3,20.1,8.1,9.2,77.0,16.1,6.7,0.2,12.8,19.2,334600.0,1767.0,1228.0,407543,67.8,26.2,0.2,1.6,0.1,5.2,Charleston County,South Carolina
0500000US45021,38769.0,5.5,13.0,36.2,20.9,10.0,8.7,45663,23559,37787.0,21636,6.5,24.3,17.8,21.5,10.5,25.9,80.2,14.1,5.6,0.1,17.9,24.7,98300.0,944.0,718.0,57110,75.3,20.1,0.1,0.6,0.0,4.5,Cherokee County,South Carolina
0500000US45023,22513.0,5.3,11.0,40.8,19.6,9.6,9.4,25968,13412,43985.0,22955,4.9,21.1,19.1,22.2,10.7,26.8,79.0,16.4,4.4,0.2,18.5,21.9,94200.0,1006.0,680.0,32260,60.2,36.8,0.4,0.5,0.0,2.1,Chester County,South Carolina
0500000US45025,31901.0,6.5,15.7,39.2,18.7,7.5,8.2,36991,19515,41937.0,22955,9.4,24.6,16.6,15.7,14.2,28.8,81.4,13.2,5.3,0.2,21.2,33.8,85600.0,915.0,706.0,45833,63.3,30.6,0.2,0.5,0.1,4.4,Chesterfield County,South Carolina
0500000US45027,24395.0,5.7,14.1,36.4,19.7,8.3,10.1,28210,12083,43881.0,23443,11.5,27.3,19.1,21.0,13.1,19.5,77.9,16.0,6.0,0.0,21.7,36.3,105200.0,1022.0,617.0,33865,49.5,46.7,0.1,0.7,0.0,3.2,Clarendon County,South Carolina
0500000US45029,26244.0,3.4,9.1,44.2,16.3,10.8,10.7,30341,15623,36748.0,22218,7.0,26.3,20.4,17.0,16.8,19.5,71.0,19.5,9.5,0.0,19.9,34.0,93500.0,1130.0,675.0,37624,57.0,38.2,0.3,0.6,0.0,3.5,Colleton County,South Carolina
0500000US45031,46243.0,5.8,11.2,36.8,19.7,8.9,11.2,53910,26208,37141.0,23008,8.0,33.4,17.0,21.4,8.1,20.1,80.9,14.6,4.1,0.3,21.2,31.7,102800.0,1042.0,689.0,66858,56.4,40.9,0.2,0.3,0.0,2.1,Darlington County,South Carolina
