GEO_ID,NAME,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino
0500000US19073,"Greene County, Iowa",1.4,4.9,39.5,22.2,11.8,14.2,5.9,7198.0,4498.0,54050.0,28413.0,5.3,36.3,15.7,17.6,11.0,19.3,76.1,13.5,10.2,0.2,8.9,8.2,94300.0,998.0,607.0,9003,96.1,0.4,0.1,0.7,0.0,2.8
0500000US19075,"Grundy County, Iowa",2.0,3.8,30.8,20.3,15.0,21.4,6.6,9809.0,6244.0,66965.0,35443.0,2.1,38.7,13.2,21.3,12.5,14.2,75.2,14.8,10.0,0.0,6.1,6.4,131200.0,1145.0,631.0,12341,98.3,0.6,0.1,0.4,0.0,1.3
0500000US19077,"Guthrie County, Iowa",2.3,4.8,38.6,23.5,11.0,14.5,5.2,8530.0,5275.0,57075.0,28953.0,3.4,33.7,14.1,23.2,15.1,13.9,76.6,14.5,8.3,0.5,11.1,14.0,115900.0,1197.0,662.0,10674,97.2,0.0,0.3,0.3,0.0,2.7
0500000US19079,"Hamilton County, Iowa",2.5,4.1,31.4,20.9,16.9,18.0,6.2,11965.0,7607.0,56273.0,28706.0,3.0,32.7,16.4,19.2,11.2,20.6,72.9,16.4,10.5,0.1,9.7,12.4,101600.0,1076.0,673.0,15110,93.7,1.4,0.0,3.0,0.2,6.0
0500000US19081,"Hancock County, Iowa",2.3,4.3,36.5,19.4,14.3,17.7,5.4,8790.0,5653.0,61167.0,29537.0,1.9,35.6,14.0,17.7,9.7,23.0,77.6,12.3,9.7,0.4,8.1,8.9,102900.0,1040.0,608.0,10888,96.8,0.6,0.2,0.4,0.1,4.2
0500000US19083,"Hardin County, Iowa",3.7,4.7,34.4,23.4,14.1,13.3,6.4,14027.0,8713.0,53872.0,28539.0,1.8,32.1,16.4,19.1,13.7,18.6,76.5,14.1,8.9,0.5,7.9,9.7,92900.0,956.0,595.0,17127,95.4,1.3,1.0,0.4,0.0,4.3
0500000US19085,"Harrison County, Iowa",2.0,6.2,38.0,23.9,11.1,13.8,5.0,11315.0,7347.0,60063.0,30209.0,1.5,33.6,12.9,21.8,13.8,17.8,80.0,10.4,9.4,0.2,10.1,11.5,115200.0,1129.0,680.0,14143,97.4,0.2,0.4,0.3,0.1,1.6
0500000US19087,"Henry County, Iowa",2.2,4.9,37.7,22.0,13.3,15.1,5.0,15997.0,9335.0,52428.0,26760.0,5.2,30.0,18.5,18.0,9.7,23.8,78.6,14.5,6.6,0.2,10.8,17.3,108700.0,1041.0,681.0,19926,92.1,2.3,0.3,2.7,0.0,4.8
0500000US19089,"Howard County, Iowa",4.6,5.1,40.8,20.4,14.2,9.8,5.2,7189.0,4783.0,52742.0,28828.0,2.5,31.5,14.7,16.7,13.3,23.8,77.3,12.9,9.6,0.2,11.9,15.1,107600.0,1027.0,589.0,9264,98.2,0.3,0.0,0.0,0.0,1.6
0500000US19091,"Humboldt County, Iowa",2.6,5.1,35.9,20.3,15.1,16.3,4.5,7572.0,4672.0,52219.0,29882.0,3.7,31.9,15.6,19.0,12.2,21.3,75.9,13.0,10.9,0.2,11.7,16.2,102300.0,1027.0,569.0,9566,97.4,0.3,0.4,0.4,0.0,4.3
0500000US19093,"Ida County, Iowa",1.6,4.9,38.3,22.9,13.2,15.5,3.5,5497.0,3443.0,55969.0,32562.0,4.2,32.8,14.9,19.3,11.1,21.9,77.8,13.3,8.5,0.4,10.5,10.3,96200.0,845.0,469.0,6916,97.2,0.1,0.7,0.5,0.0,2.2
0500000US19095,"Iowa County, Iowa",2.0,4.3,37.7,23.3,13.7,13.5,5.6,12897.0,8353.0,58570.0,32663.0,2.7,30.8,15.2,20.7,14.5,18.8,78.4,14.4,6.9,0.3,8.2,9.7,146400.0,1265.0,552.0,16207,97.3,0.9,0.1,0.2,0.0,2.7
0500000US19097,"Jackson County, Iowa",3.5,4.1,41.9,19.6,12.0,12.5,6.3,15697.0,9531.0,54070.0,29207.0,4.3,30.3,15.6,19.8,13.8,20.5,81.3,10.6,7.9,0.2,12.4,16.3,123500.0,1095.0,621.0,19395,96.8,0.5,0.0,0.4,0.7,1.4
0500000US19099,"Jasper County, Iowa",2.0,4.3,42.4,22.0,11.5,13.4,4.4,29537.0,17587.0,55727.0,27551.0,4.9,27.8,16.2,24.5,10.4,21.1,81.6,11.4,6.7,0.3,9.8,10.1,128000.0,1140.0,723.0,36891,95.5,1.9,0.2,0.5,0.2,2.1
0500000US19101,"Jefferson County, Iowa",1.5,5.8,27.7,22.0,11.3,16.9,14.6,15045.0,8235.0,43378.0,26064.0,6.7,37.0,18.5,19.6,8.5,16.3,78.7,11.1,10.2,0.0,14.2,9.9,109400.0,1142.0,666.0,18077,83.3,1.8,0.0,6.1,0.0,2.9
